Tid (h);Norm konc. 3
0;1
0.002777778;0.994171095
0.005555556;0.976684382
0.008333333;0.964340819
0.011111111;0.953540202
0.013888889;0.960397737
0.016666667;0.937596434
0.019444444;0.935367735
0.022222222;0.938453626
0.025;0.929367392
0.027777778;0.898851363
0.030555556;0.903480199
0.033333333;0.895936911
0.036111111;0.887364992
0.038888889;0.881193211
0.041666667;0.891993828
0.044444444;0.893022458
0.047222222;0.889593691
0.05;0.865763758
0.052777778;0.845362592
0.055555556;0.844333962
0.058333333;0.835933482
0.061111111;0.835247728
0.063888889;0.837304989
0.066666667;0.835590605
0.069444444;0.836447797
0.072222222;0.833361906
0.075;0.825304303
0.077777778;0.811760672
0.080555556;0.80353163
0.083333333;0.800788616
0.086111111;0.787073547
0.088888889;0.774901423
0.091666667;0.765986628
0.094444444;0.761872107
0.097222222;0.764615121
0.1;0.758786216
0.102777778;0.758271901
0.105555556;0.757071833
0.108333333;0.749528544
0.111111111;0.743356763
0.113888889;0.73735642
0.116666667;0.731356077
0.119444444;0.730156009
0.122222222;0.729470255
0.125;0.728784502
0.127777778;0.723812789
0.130555556;0.717812446
0.133333333;0.711983542
0.136111111;0.707354706
0.138888889;0.702040117
0.141666667;0.694839705
0.144444444;0.684553403
0.147222222;0.678724499
0.15;0.67752443
0.152777778;0.671524087
0.155555556;0.666552374
0.158333333;0.663295045
0.161111111;0.65969484
0.163888889;0.655066004
0.166666667;0.650608606
0.169444444;0.644093948
0.172222222;0.642551003
0.175;0.640836619
0.177777778;0.637064975
0.180555556;0.63020744
0.183333333;0.623692782
0.186111111;0.618549631
0.188888889;0.614263672
0.191666667;0.609463398
0.194444444;0.606720384
0.197222222;0.605520315
0.2;0.603805932
0.202777778;0.601405795
0.205555556;0.603463055
0.208333333;0.607920453
0.211111111;0.597805589
0.213888889;0.592833876
0.216666667;0.591805246
0.219444444;0.578433053
0.222222222;0.573975656
0.225;0.569003943
0.227777778;0.567118121
0.230555556;0.565575176
0.233333333;0.563689354
0.236111111;0.561117778
0.238888889;0.557346134
0.241666667;0.553231613
0.244444444;0.550317161
0.247222222;0.545859763
0.25;0.542773873
0.252777778;0.541230927
0.255555556;0.538659352
0.258333333;0.533687639
0.261111111;0.524429967
0.263888889;0.524772844
0.266666667;0.522887022
0.269444444;0.519801131
0.272222222;0.516715241
0.275;0.513286474
0.277777778;0.511743528
0.280555556;0.507457569
0.283333333;0.500257158
0.286111111;0.501628664
0.288888889;0.496142637
0.291666667;0.494085376
0.294444444;0.489113664
0.297222222;0.483627636
0.3;0.481398937
0.302777778;0.478655923
0.305555556;0.476084348
0.308333333;0.472827019
0.311111111;0.473684211
0.313888889;0.476084348
0.316666667;0.472998457
0.319444444;0.468883936
0.322222222;0.469055375
0.325;0.46116921
0.327777778;0.453454483
0.330555556;0.442139551
0.333333333;0.433910509
0.336111111;0.426710098
0.338888889;0.424481399
0.341666667;0.421566947
0.344444444;0.418995371
0.347222222;0.418309618
0.35;0.421052632
0.352777778;0.4222527
0.355555556;0.423109892
0.358333333;0.41916681
