Tid (h);Norm konc. 5
0.658333333;0.238657869
0.661111111;0.23804409
0.663888889;0.237379162
0.666666667;0.236611938
0.669444444;0.23594701
0.672222222;0.240396911
0.675;0.234924045
0.677777778;0.234310265
0.680555556;0.239885428
0.683333333;0.233952228
0.686111111;0.233133855
0.688888889;0.233389596
0.691666667;0.233236152
0.694444444;0.232878114
0.697222222;0.232468927
0.7;0.231804
0.702777778;0.231036776
0.705555556;0.2303207
0.708333333;0.229553476
0.711111111;0.229297734
0.713888889;0.229451179
0.716666667;0.228990844
0.719444444;0.237634904
0.722222222;0.227149506
0.725;0.226638024
0.727777778;0.226126541
0.730555556;0.231804
0.733333333;0.224182906
0.736111111;0.223876017
0.738888889;0.223517979
0.741666667;0.230422996
0.744444444;0.222188123
0.747222222;0.221830085
0.75;0.221216306
0.752777778;0.220551378
0.755555556;0.220295637
0.758333333;0.220091044
0.761111111;0.219681858
0.763888889;0.219374968
0.766666667;0.218965782
0.769444444;0.222136975
0.772222222;0.221830085
0.775;0.224898982
0.777777778;0.215641144
0.780555556;0.214771623
0.783333333;0.21426014
0.786111111;0.215180809
0.788888889;0.213902102
0.791666667;0.213134878
0.794444444;0.212214209
0.797222222;0.215487699
0.8;0.215538847
0.802777778;0.215231957
0.805555556;0.214669326
0.808333333;0.214055547
0.811111111;0.213134878
0.813888889;0.212674544
0.816666667;0.212418802
0.819444444;0.212060764
0.822222222;0.211191243
0.825;0.210321723
0.827777778;0.208122347
0.830555556;0.207201678
0.833333333;0.207764309
0.836111111;0.207815457
0.838888889;0.208633829
0.841666667;0.207764309
0.844444444;0.205616081
0.847222222;0.206587898
0.85;0.204695412
0.852777778;0.204081633
0.855555556;0.20357015
0.858333333;0.203007519
0.861111111;0.202444888
0.863888889;0.208838423
0.866666667;0.202240295
0.869444444;0.201882257
0.872222222;0.201626515
0.875;0.200705846
0.877777778;0.199529436
0.880555556;0.197790394
0.883333333;0.196562836
0.886111111;0.196102501
0.888888889;0.19553987
0.891666667;0.195897908
0.894444444;0.197381208
0.897222222;0.191908342
0.9;0.19108997
0.902777778;0.19047619
0.905555556;0.189862411
0.908333333;0.191857194
0.911111111;0.188072221
0.913888889;0.189402077
0.916666667;0.187560739
0.919444444;0.187867628
0.922222222;0.187714183
0.925;0.187407294
0.927777778;0.187151552
0.930555556;0.186895811
0.933333333;0.186486625
0.936111111;0.18602629
0.938888889;0.185617104
0.941666667;0.185105621
0.944444444;0.184491842
0.947222222;0.183980359
0.95;0.183315431
0.952777778;0.1827528
0.955555556;0.182087873
0.958333333;0.181832131
0.961111111;0.1812695
0.963888889;0.180911462
0.966666667;0.180451128
0.969444444;0.180297683
0.972222222;0.180451128
0.975;0.180348831
0.977777778;0.179990793
0.980555556;0.179683904
0.983333333;0.179223569
0.986111111;0.178660938
0.988888889;0.178098307
0.991666667;0.177689121
0.994444444;0.177228786
0.997222222;0.176768452
1;0.176563859
1.002777778;0.176103524
1.005555556;0.175182855
1.008333333;0.174875965
1.011111111;0.174466779
1.013888889;0.173955296
1.016666667;0.173494962
1.019444444;0.172727738
1.022222222;0.172523145
1.025;0.171500179
1.027777778;0.171039845
1.030555556;0.170732955
1.033333333;0.170426065
1.036111111;0.17057951
1.038888889;0.169147358
1.041666667;0.168431282
1.044444444;0.16761291
1.047222222;0.166845686
1.05;0.166436499
1.052777778;0.166180758
1.055555556;0.165925017
1.058333333;0.16551583
1.061111111;0.165055496
1.063888889;0.16464631
1.066666667;0.164441717
1.069444444;0.163981382
1.072222222;0.163316454
1.075;0.162651527
