Tid (h);Norm konc. 2
0;1
0.002777778;0.979111214
0.005555556;0.964761023
0.008333333;0.978358986
0.011111111;0.946765421
0.013888889;0.928885546
0.016666667;0.9143039
0.019444444;0.90689735
0.022222222;0.880337924
0.025;0.865987733
0.027777778;0.856787409
0.030555556;0.849033677
0.033333333;0.830459438
0.036111111;0.818423794
0.038888889;0.816051383
0.041666667;0.801296146
0.044444444;0.794757551
0.047222222;0.787351001
0.05;0.775546812
0.052777778;0.764321259
0.055555556;0.745573429
0.058333333;0.736199514
0.061111111;0.723180187
0.063888889;0.708367087
0.066666667;0.700555491
0.069444444;0.696852216
0.072222222;0.681113297
0.075;0.675095475
0.077777778;0.671970837
0.080555556;0.6572156
0.083333333;0.653685916
0.086111111;0.650156232
0.088888889;0.649866914
0.091666667;0.643675501
0.094444444;0.642460363
0.097222222;0.630366856
0.1;0.613817845
0.102777778;0.605774795
0.105555556;0.602823747
0.108333333;0.601550746
0.111111111;0.596285152
0.113888889;0.592408286
0.116666667;0.58349728
0.119444444;0.577074413
0.122222222;0.5715195
0.125;0.565675269
0.127777778;0.565617405
0.130555556;0.566832543
0.133333333;0.564170814
0.136111111;0.546811712
0.138888889;0.538826525
0.141666667;0.534718204
0.144444444;0.533040157
0.147222222;0.52945261
0.15;0.525807198
0.152777778;0.521351695
0.155555556;0.515796783
0.158333333;0.511283416
0.161111111;0.507290823
0.163888889;0.501967365
0.166666667;0.496759634
0.169444444;0.493056359
0.172222222;0.488832311
0.175;0.483335262
0.177777778;0.480268487
0.180555556;0.476796667
0.183333333;0.473266983
0.186111111;0.472167573
0.188888889;0.468927207
0.191666667;0.465223932
0.194444444;0.460884157
0.197222222;0.45637079
0.2;0.452204606
0.202777778;0.449253559
0.205555556;0.447401921
0.208333333;0.443987964
0.211111111;0.441326235
0.213888889;0.439590325
0.216666667;0.436581414
0.219444444;0.433688231
0.222222222;0.432068048
0.225;0.429522046
0.227777778;0.429232728
0.230555556;0.430737183
0.233333333;0.433630367
0.236111111;0.429348455
