Tid (h);Norm konc. 6
0;1
0.002777778;0.876407321
0.005555556;0.816497893
0.008333333;0.745707277
0.011111111;0.696081515
0.013888889;0.65287125
0.016666667;0.616642556
0.019444444;0.575728033
0.022222222;0.573495188
0.025;0.551858607
0.027777778;0.531291276
0.030555556;0.508522549
0.033333333;0.486571482
0.036111111;0.474589597
0.038888889;0.455374552
0.041666667;0.449084848
0.044444444;0.436505441
0.047222222;0.425246871
0.05;0.415403484
0.052777778;0.408862193
0.055555556;0.401314548
0.058333333;0.397855211
0.061111111;0.389143971
0.063888889;0.375904145
0.066666667;0.365054406
0.069444444;0.361657966
0.072222222;0.352789484
0.075;0.345965155
0.077777778;0.338197371
0.080555556;0.333354299
0.083333333;0.331718976
0.086111111;0.327630669
0.088888889;0.322473112
0.091666667;0.317692937
0.094444444;0.313290144
0.097222222;0.306968992
0.1;0.303289515
0.102777778;0.301308258
0.105555556;0.296748223
0.108333333;0.292345431
0.111111111;0.289200579
0.113888889;0.286370212
0.116666667;0.281998868
0.119444444;0.279325744
0.122222222;0.276778414
0.125;0.273979496
0.127777778;0.270300019
0.130555556;0.267186616
0.133333333;0.265111013
0.136111111;0.262437889
0.138888889;0.260236493
0.141666667;0.256273979
0.144444444;0.253034782
0.147222222;0.250896283
0.15;0.248128813
0.152777778;0.246116108
0.155555556;0.24394616
0.158333333;0.241964903
0.161111111;0.239794956
0.163888889;0.238253978
0.166666667;0.23652431
0.169444444;0.234102774
0.172222222;0.231398201
0.175;0.22929115
0.177777778;0.226995409
0.180555556;0.225863262
0.183333333;0.223630417
0.186111111;0.2218693
0.188888889;0.219447764
0.191666667;0.21740361
0.194444444;0.215894081
0.197222222;0.213566891
0.2;0.211617083
0.202777778;0.210264797
0.205555556;0.208692371
0.208333333;0.207402981
0.211111111;0.206019246
0.213888889;0.204981445
0.216666667;0.203534814
0.219444444;0.202182527
0.222222222;0.201239072
0.225;0.199918234
0.227777778;0.198534499
0.230555556;0.197182213
0.233333333;0.195735581
0.236111111;0.194949368
0.238888889;0.193785773
0.241666667;0.192810869
0.244444444;0.191395685
0.247222222;0.189917605
0.25;0.188596767
0.252777778;0.18768476
0.255555556;0.186332474
0.258333333;0.185326121
