Tid (h);Norm konc. 4
0;1
0.002777778;0.930809399
0.005555556;0.906598623
0.008333333;0.911108474
0.011111111;0.908378827
0.013888889;0.890695466
0.016666667;0.893069072
0.019444444;0.855210064
0.022222222;0.846309043
0.025;0.836577261
0.027777778;0.82743888
0.030555556;0.816282934
0.033333333;0.80180394
0.036111111;0.787918348
0.038888889;0.774626157
0.041666667;0.765487776
0.044444444;0.746736292
0.047222222;0.728696891
0.05;0.731901258
0.052777778;0.726441965
0.055555556;0.718490387
0.058333333;0.704367434
0.061111111;0.68965108
0.063888889;0.688464277
0.066666667;0.676121529
0.069444444;0.667695229
0.072222222;0.663066698
0.075;0.657963446
0.077777778;0.648112984
0.080555556;0.640398766
0.083333333;0.632209827
0.086111111;0.622122003
0.088888889;0.616069309
0.091666667;0.610016615
0.094444444;0.614763826
0.097222222;0.605625445
0.1;0.597911227
0.102777778;0.58616188
0.105555556;0.585924519
0.108333333;0.580346546
0.111111111;0.556491811
0.113888889;0.54723475
0.116666667;0.543793022
0.119444444;0.544623784
0.122222222;0.53868977
0.125;0.538571089
0.127777778;0.536909566
0.130555556;0.539045811
0.133333333;0.524448137
0.136111111;0.516140517
0.138888889;0.514597674
0.141666667;0.506646095
0.144444444;0.502967007
0.147222222;0.499643959
0.15;0.494422027
0.152777778;0.492285782
0.155555556;0.490861619
0.158333333;0.486589129
0.161111111;0.480655115
0.163888889;0.476145265
0.166666667;0.470329931
0.169444444;0.463683836
0.172222222;0.460716829
0.175;0.456563019
0.177777778;0.455138856
0.180555556;0.453002611
0.183333333;0.451459767
0.186111111;0.449679563
0.188888889;0.448730121
0.191666667;0.439354379
0.194444444;0.435675291
0.197222222;0.43104676
0.2;0.429266556
0.202777778;0.428673155
0.205555556;0.428673155
0.208333333;0.428198433
0.211111111;0.42262046
0.213888889;0.420484216
0.216666667;0.41360076
0.219444444;0.40968431
0.222222222;0.406479943
0.225;0.404343698
0.227777778;0.404225018
0.230555556;0.403275576
0.233333333;0.401258011
0.236111111;0.399477807
0.238888889;0.395917399
0.241666667;0.394137194
0.244444444;0.392475671
0.247222222;0.390458106
0.25;0.389033943
0.252777778;0.385592215
0.255555556;0.38345597
0.258333333;0.380845004
0.261111111;0.377165915
0.263888889;0.37514835
0.266666667;0.375385711
0.269444444;0.372418704
0.272222222;0.367790173
0.275;0.365772609
0.277777778;0.365416568
0.280555556;0.36185616
